event_idx,fire_time_s,fire_to_muzzle_s,fire_to_impact_s,pitch_peak_signed_deg,pitch_peak_abs_deg,pitch_peak_time_s,pitch_recovery_s,pitch_target_range_deg,pitch_target_stable,yaw_peak_signed_deg,yaw_peak_abs_deg,yaw_peak_time_s,yaw_recovery_s,yaw_target_range_deg,yaw_target_stable,disturbance_vector_abs_deg,stable_target,valid_disturbance_shot
236,5108.95195776,0.0462586880003073,0.1929809920002299,-2.2878857648897766,2.2878857648897766,0.19567155200002162,0.3326919680002902,5.212431837809547,0,3.734470505194764,3.734470505194764,0.3535418880001089,nan,6.097106111798652,0,4.379576603663294,0,0
237,5116.63958912,0.03999257600025885,0.19121587200061185,2.966245865741074,2.966245865741074,0.38887961599994014,nan,4.738437624772146,0,-2.0046383546435607,2.0046383546435607,0.06684774400036986,0.20840422400033276,3.7621347499090945,0,3.580110259326388,0,0
238,5122.94802048,0.05111936000048445,0.18319359999986773,-2.690786076032995,2.690786076032995,0.16140160000031756,0.2903403520003849,5.239989642456257,0,-1.848384645655857,1.848384645655857,0.07017932800044946,0.21308313600002293,1.0165512292788037,0,3.264483956963087,0,0
239,5167.505390592,0.039120895999985805,0.17076198399990972,-1.981733786949424,1.981733786949424,0.13242598400029237,0.27317888000015955,5.020450125087271,0,3.9819818412207333,3.9819818412207333,0.34304255999995803,0.4642954239998289,6.126743654944715,0,4.4478588316344485,0,0
240,5178.33288064,0.049928192000152194,0.17243263999989722,-1.8244715834023602,1.8244715834023602,0.16659788800006936,nan,4.900248902484471,0,-4.215914425394216,4.215914425394216,0.48407270400002744,nan,6.30696555221224,0,4.593760006888666,0,0
241,5187.8775201280005,0.04359961599948292,0.1711600640001052,-1.8341917214397911,1.8341917214397911,0.17330585600029735,0.34398694399988017,4.896480936972829,0,-1.7694470533695945,1.7694470533695945,0.4338268159999643,nan,0.4953837187881689,1,2.5485686464516912,0,0
242,5188.244495616001,0.03999308799939172,0.16006169599950226,2.642163066301068,2.642163066301068,0.3889791999999943,nan,5.2649373571659375,0,3.5891825968767144,3.5891825968767144,0.2191160319998744,0.32920243199987453,6.936799616210244,0,4.456821443882191,0,0
243,5230.397179648,0.04587084800004959,0.181798143999913,-2.7504561369209366,2.7504561369209366,0.16478540800017072,nan,9.090680521233232,0,-1.7676716874941327,1.7676716874941327,0.07491225600006146,0.19398118400022213,1.707063225661475,0,3.269506408602741,0,0
244,5243.91331968,0.039357440000458155,0.16686438400029147,-2.205485596284598,2.205485596284598,0.1378188799999407,nan,5.1475751445504265,0,1.1470529013893653,1.1470529013893653,0.4879994880002414,nan,3.7166781306557333,0,2.485939877391364,0,0
245,5251.649467136001,0.04060134399969684,0.18109388799985027,-3.265274798735904,3.265274798735904,0.2820313599995643,nan,12.157298021520262,0,-1.8444038024551404,1.8444038024551404,0.07502873599969462,0.2035676159994182,2.424668054887217,0,3.750179315415568,0,0
246,5252.259971840001,0.040049663999525364,0.19095372799984034,1.5601203768456067,1.5601203768456067,0.49324262399932195,nan,1.2833724782529323,0,-1.8301486619447402,1.8301486619447402,0.08162431999971886,0.184891391999372,1.0192388736674722,0,2.4048741578442314,0,0
247,5267.518778112,0.0436528640002507,0.17516467200039187,-3.919992562753798,3.919992562753798,0.2668500480003786,nan,12.290910148779055,0,-1.7838678272334914,1.7838678272334914,0.0686824960002923,0.3789631999998164,3.5734874377346237,0,4.306799985729988,0,0
248,5281.346031872,0.04078566400039563,0.2057937920008044,-1.6912401596888476,1.6912401596888476,0.14238796800054843,nan,7.121870499227697,0,2.1154787595334614,2.1154787595334614,0.3834662400004163,nan,4.9206962983582905,0,2.7084208793652422,0,0
249,5289.327521792,0.040447232000587974,0.17756953600019187,-2.778652075631916,2.778652075631916,0.2740449279999666,nan,12.142001921779858,0,0.5692351203628441,0.5692351203628441,0.18455552000068565,0.2848453120004706,1.576910377317411,0,2.83635963510766,0,0
250,5862.936902400001,0.04061235199969815,0.1738245119995554,-2.1550609935268037,2.1550609935268037,0.46591001599972515,nan,7.886013505402772,0,-1.6606418595732606,1.6606418595732606,0.06401791999996931,0.17430988799969782,1.9984347054825626,0,2.720665225930539,0,0
251,5869.407015424001,0.03974374399967928,0.19118694400003733,-2.9251129072677857,2.9251129072677857,0.1530854399998134,0.30207897599939315,5.057655981837446,0,-3.683537480990694,3.683537480990694,0.48492518399962137,nan,8.88880412494909,0,4.7036936437365755,0,0
252,5875.361570048,0.04387609599962161,0.1717726719998609,-2.426998109029846,2.426998109029846,0.17999872000018513,0.3047884799998428,10.495125736217938,0,-1.6809282276068735,1.6809282276068735,0.06834944000001997,0.20454118399993604,1.9964424626154056,0,2.952260071131951,0,0
253,5886.958164224,0.04184038400035206,0.1781035520007208,-1.8512525664971955,1.8512525664971955,0.16529433600044285,nan,5.8291720793545085,0,-1.8371135364994373,1.8371135364994373,0.0736122880007315,0.17383244800021203,4.637398985596459,0,2.608087845712242,0,0
254,5901.788162816,0.04902476799998112,0.18694067199976416,-1.8161353697938427,1.8161353697938427,0.3936378879998301,nan,6.8367500144380156,0,-1.7177568517619317,1.7177568517619317,0.08219852799993532,0.2740633599996727,2.113910597483965,0,2.4998072492076826,0,0
